Stock,Weight,Sharpe Ratio,Mean Annual Return,Std Deviation,5th Percentile,95th Percentile
PEP,0.016234302100468858,0.37495851131507035,0.11463927297332425,0.19906008457188035,-0.17935576154023833,0.47774594466339365
JNJ,0.015095165618871465,0.34864823837071574,0.10779271336350203,0.1944444454396423,-0.17602811542967597,0.446556669007073
QCOM,0.014284385796593808,0.3299219147330185,0.17919277599159514,0.42189612079644234,-0.37528932254989184,0.9618239847206701
NKE,0.014213905029254502,0.32829404287044384,0.14960089324658116,0.33384977774279456,-0.30757156763394633,0.7623784416196941
WFC,0.01228627697831324,0.28377223097627985,0.13628234238644457,0.33929444771674183,-0.3268821317216017,0.7526322457377552
BA,0.012038216593182998,0.2780428591715016,0.16589174228513814,0.4527781891621462,-0.4079864653513308,1.0288535403111438
KO,0.01197824753609594,0.2766577729367393,0.09287941355955691,0.19113655473417093,-0.1919911608415083,0.4329834845916529
PM,0.01158266094241913,0.26752103522277426,0.10633305770874676,0.24795454926940183,-0.2463092456387356,0.5574420754116792
CMCSA,0.011430261620406789,0.26400111656205627,0.111827845591546,0.2720740219849112,-0.27514282873609425,0.6046299813430763
DIS,0.010994832543678217,0.2539441496913507,0.11545561714365524,0.29713469373232515,-0.29713096097737385,0.6513566051193627
UPS,0.010752631597725366,0.24835011148930444,0.1072453473413399,0.2707683396559938,-0.2760055125213656,0.607761803854595
GE,0.008996798213087152,0.20779618635308117,0.11733520198547845,0.3721685337096261,-0.382154285350419,0.8084074081244416
CVX,0.008612699059881396,0.1989247703974024,0.10246658742353175,0.31402116136034236,-0.3318158721253668,0.6812042803422327
XOM,0.007997531867053001,0.18471644943569349,0.09379067319447643,0.2912067298760142,-0.3147582105179569,0.6260325818560303
IBM,0.007725970176450087,0.17844427545442135,0.08498514129696698,0.2520962983116664,-0.2707696184521139,0.5449776845339783
PFE,0.005709428013941975,0.13186884260989662,0.07150093583089709,0.2388808091998297,-0.27037257991163244,0.5006420273059267
INTC,0.004996894691698272,0.11396895595290052,0.0832133763359792,0.37916795828012856,-0.4159688729981684,0.7918348999971613
VZ,0.004996894691698272,0.10250995470473627,0.06058430161355411,0.2008029529702158,-0.2339955723663183,0.41383682731940036
