Date,AAPL,AMZN,CAT,CVX,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,V,XOM
2025-04-24,207.8612060546875,186.5399932861328,304.8641052246094,135.88380432128906,158.9452362060547,152.49375915527344,242.2891082763672,71.4599838256836,532.3807983398438,385.9557800292969,106.4166030883789,21.974384307861328,157.34613037109375,334.564697265625,106.646240234375
2025-04-25,208.76898193359375,188.99000549316406,304.456787109375,135.5515899658203,161.61962890625,152.14927673339844,241.2095947265625,70.85890197753906,546.4804077148438,390.4900207519531,110.99604034423828,22.109432220458984,158.8157501220703,334.02655029296875,106.58734130859375
2025-04-28,209.62689208984375,187.6999969482422,305.06280517578125,136.89019775390625,160.2724609375,152.90716552734375,240.8827667236328,70.74065399169922,548.9468383789062,389.80242919921875,108.71631622314453,22.234834671020508,159.63436889648438,336.3585510253906,106.646240234375
2025-04-29,210.69427490234375,187.38999938964844,305.40057373046875,136.1085205078125,159.8234100341797,153.45835876464844,242.26930236816406,71.29246520996094,553.6400756835938,392.67242431640625,109.00627899169922,22.948665618896484,160.03875732421875,340.3548583984375,106.38117980957031
2025-04-30,211.9811248779297,184.4199981689453,307.2583923339844,132.9427490234375,158.4662628173828,153.85206604003906,242.26930236816406,71.48954772949219,548.2078857421875,393.88818359375,108.90629577636719,23.54673957824707,160.3445281982422,344.3212890625,103.7010269165039
2025-05-01,212.79913330078125,190.1999969482422,311.91790771484375,133.13816833496094,160.96099853515625,152.0311737060547,244.51748657226562,70.24796295166016,571.3844604492188,423.9235534667969,111.59595489501953,23.08371353149414,157.78997802734375,341.2817077636719,103.8482894897461
2025-05-02,204.8485870361328,189.97999572753906,321.57470703125,135.3268585205078,163.68527221679688,153.66505432128906,250.08348083496094,70.60270690917969,596.1586303710938,433.769287109375,114.485595703125,23.344165802001953,158.3225860595703,346.41412353515625,104.27043914794922
2025-05-05,198.40435791015625,186.35000610351562,321.0083923339844,132.3955841064453,163.86489868164062,152.5626678466797,250.1330108642578,70.65196990966797,598.4053955078125,434.65618896484375,113.80567932128906,23.025836944580078,156.65573120117188,347.4505920410156,101.38412475585938
2025-05-06,198.0252685546875,185.00999450683594,318.8028564453125,132.49330139160156,162.88693237304688,152.04100036621094,246.8548126220703,70.67167663574219,586.462646484375,431.8061218261719,113.52571868896484,22.070846557617188,157.06997680664062,346.5137939453125,102.7978286743164
2025-05-07,195.7707977294922,188.7100067138672,318.2067565917969,132.67893981933594,151.06185913085938,154.82650756835938,246.99346923828125,71.34173583984375,595.9489135742188,431.8459777832031,117.04527282714844,21.984031677246094,157.1094207763672,348.6564636230469,102.69966125488281
2025-05-08,197.00778198242188,192.0800018310547,322.1409912109375,133.90029907226562,153.9557647705078,153.21229553222656,251.03427124023438,70.12971496582031,597.147216796875,436.6492614746094,117.35523986816406,22.157663345336914,156.47817993164062,350.07159423828125,104.13299560546875
2025-05-09,198.0452423095703,193.05999755859375,323.5020751953125,135.3170928955078,152.42897033691406,151.79493713378906,250.6480255126953,69.48921203613281,591.6351928710938,437.2073059082031,116.63532257080078,21.902074813842773,155.50172424316406,351.3372802734375,105.35034942626953
2025-05-12,210.55104064941406,208.63999938964844,340.32196044921875,138.3753662109375,158.12696838378906,151.7161865234375,257.551025390625,68.51368713378906,638.5074462890625,447.7007751464844,122.98452758789062,22.698335647583008,158.69737243652344,354.635986328125,107.16657257080078
2025-05-13,212.68861389160156,211.3699951171875,350.2469787597656,139.08865356445312,159.19471740722656,146.10581970214844,260.48260498046875,67.95201873779297,655.08349609375,447.5812072753906,129.9136505126953,22.482067108154297,156.5570831298828,355.51446533203125,107.4610824584961
2025-05-14,212.08929443359375,210.25,347.3857421875,138.42422485351562,165.02244567871094,144.05853271484375,263.08734130859375,68.14910125732422,658.40869140625,451.36798095703125,135.32296752929688,21.646486282348633,155.8568115234375,355.8338623046875,106.49898529052734
2025-05-15,211.21029663085938,205.1699981689453,347.5347595214844,139.00071716308594,163.61541748046875,147.25741577148438,264.9195251464844,70.56328582763672,642.9510498046875,452.3863220214844,134.8130340576172,22.21664810180664,160.18670654296875,361.6636047363281,107.57894134521484
2025-05-16,211.0205078125,205.58999633789062,351.28021240234375,138.84437561035156,165.84072875976562,148.95037841796875,264.9888610839844,70.94758605957031,639.4161376953125,453.5244445800781,135.38296508789062,22.442745208740234,161.0447998046875,364.4786682128906,107.19253540039062
2025-05-19,208.54331970214844,206.16000366210938,350.27679443359375,136.96530151367188,166.1899871826172,150.09214782714844,262.3346252441406,70.87860870361328,639.5059814453125,458.11688232421875,135.55294799804688,22.609861373901367,162.514404296875,367.2537841796875,105.48838806152344
2025-05-20,206.62550354003906,204.07000732421875,347.2168273925781,135.75872802734375,163.6353759765625,151.24374389648438,263.1269226074219,70.64212036132812,636.1807861328125,457.4180603027344,134.3630828857422,23.121042251586914,163.3724822998047,366.1956481933594,103.9823989868164
2025-05-21,201.86090087890625,201.1199951171875,340.2822265625,134.0675506591797,168.20574951171875,150.7712860107422,258.5315246582031,70.79977416992188,634.5830688476562,451.8272399902344,131.78341674804688,22.649185180664062,163.1653594970703,357.6706237792969,102.70429992675781
2025-05-22,201.13172912597656,203.10000610351562,342.9447937011719,133.80052185058594,170.51089477539062,150.2102508544922,258.16510009765625,70.10015106201172,635.6515502929688,454.11346435546875,132.81329345703125,22.649185180664062,162.77084350585938,357.3412170410156,102.02066040039062
2025-05-23,195.04864501953125,200.99000549316406,341.156494140625,135.03675842285156,168.11593627929688,150.53506469726562,258.2046813964844,70.720947265625,626.1552124023438,449.441162109375,131.2734832763672,22.9244327545166,163.5894775390625,352.91900634765625,102.0801010131836
2025-05-27,199.98304748535156,206.02000427246094,349.22369384765625,136.31256103515625,172.53662109375,152.13333129882812,262.7406921386719,70.73079681396484,641.3932495117188,459.93389892578125,135.48294067382812,23.209514617919922,165.46347045898438,358.66888427734375,102.56558227539062
2025-05-28,200.1927947998047,204.72000122070312,347.2168273925781,134.52249145507812,171.9977569580078,151.3192901611328,260.9579772949219,70.1100082397461,642.6514282226562,456.609375,134.7930450439453,22.786808013916016,165.06895446777344,359.09814453125,101.16858673095703
2025-05-29,199.72332763671875,205.6999969482422,349.50189208984375,136.3916778564453,171.49880981445312,152.46092224121094,261.82952880859375,70.44503784179688,644.1193237304688,457.9272155761719,139.17250061035156,23.052228927612305,166.25250244140625,361.763427734375,101.74324035644531
2025-05-30,200.622314453125,205.00999450683594,345.7663269042969,135.1949920654297,171.3790740966797,154.0790557861328,261.46307373046875,71.0461196899414,646.5557861328125,459.60443115234375,135.11300659179688,23.091550827026367,167.56430053710938,364.5485534667969,101.35684204101562
2025-06-02,201.47134399414062,206.64999389648438,342.4281921386719,136.32244873046875,168.6747589111328,154.2676544189453,262.1167297363281,70.94758605957031,669.9320678710938,461.2118225097656,137.3627166748047,23.062057495117188,165.4832000732422,364.6783142089844,102.09992218017578
2025-06-03,203.03956604003906,205.7100067138672,347.1274108886719,138.0136260986328,165.83074951171875,153.2947998046875,263.71124267578125,70.11986541748047,665.8878784179688,462.2101745605469,141.2022247314453,22.95392608642578,164.56593322753906,365.21734619140625,102.84300994873047
